Recording,Label,Band_1_Hz(25.8Hz),Band_2_Hz(35.1Hz),Band_3_Hz(47.9Hz),Band_4_Hz(65.4Hz),Band_5_Hz(89.3Hz),Band_6_Hz(121.8Hz),Band_7_Hz(166.2Hz),Band_8_Hz(226.7Hz),Band_9_Hz(309.4Hz),Band_10_Hz(422.1Hz),Band_11_Hz(575.9Hz),Band_12_Hz(785.8Hz),Band_13_Hz(1072.2Hz),Band_14_Hz(1462.9Hz),Band_15_Hz(1996.0Hz),Band_16_Hz(2723.4Hz),Band_17_Hz(3715.9Hz),Band_18_Hz(5070.0Hz),Band_19_Hz(6917.6Hz),Band_20_Hz(9438.5Hz)
YamahaMT15_1.ogg,1,1e-10,1e-10,19699.4296875,58750.4375,234053.8125,1724371.0,118222.15625,48837.20703125,7742.59228515625,6201.21484375,9297.6513671875,11820.91796875,10224.41015625,4913.09326171875,3698.038818359375,1539.9261474609375,779.1672973632812,370.042236328125,193.3021240234375,2.42431701735768e-06
YamahaMT15_2.ogg,2,1e-10,1e-10,15525.3046875,56806.75390625,147336.4375,7669213.5,970979.375,30074.080078125,8779.9580078125,3899.5224609375,2950.791015625,3188.516845703125,3834.1611328125,3505.371826171875,2896.854248046875,1441.0159912109375,636.9305419921875,369.5449523925781,138.20652770996094,0.014504699967801571
YamahaMT15_3.ogg,3,1e-10,1e-10,20215.7265625,112979.078125,373255.6875,7812413.0,856748.5,29085.5859375,8490.5830078125,3486.640625,6506.62548828125,7879.4453125,7114.16796875,3468.80322265625,5752.986328125,2333.804443359375,1068.06689453125,376.1695251464844,106.64224243164062,0.0005114101222716272
YamahaMT15_4_.ogg,4,1e-10,1e-10,150136.75,716581.0,1109905.5,1573006.25,170171.40625,83062.5390625,5827.69287109375,4185.66455078125,3853.65625,7569.30419921875,4363.6953125,4787.78759765625,2982.345458984375,862.9122924804688,510.08038330078125,300.11981201171875,114.09475708007812,0.007174100261181593
YamahaMT15_5.ogg,5,1e-10,1e-10,98239.125,179471.4375,605737.0,3100608.5,1692144.5,536866.375,208211.84375,145958.03125,13992.220703125,13356.5732421875,14312.2001953125,3302.853271484375,2219.741455078125,715.7662353515625,216.23904418945312,92.90130615234375,46.57823181152344,0.019062483683228493
YamahaMT15_6.ogg,6,1e-10,1e-10,133034.328125,524262.15625,812185.875,989259.3125,84507.34375,47637.71875,4549.1904296875,4233.767578125,5128.7080078125,4262.94287109375,4579.88232421875,2990.5732421875,2375.1376953125,1164.0595703125,597.8386840820312,300.73077392578125,87.84439086914062,1.4839359209872782e-05
YamahaMT15_7.ogg,7,1e-10,1e-10,127038.1640625,333778.78125,779912.0,1772869.0,144283.34375,33439.89453125,3554.197265625,7000.30859375,4207.322265625,2668.806640625,3159.35888671875,1482.03466796875,2087.7314453125,688.3536376953125,692.6526489257812,433.1440124511719,163.9380645751953,0.002556702820584178
YamahaMT15_8.ogg,8,1e-10,1e-10,280057.4375,346865.9375,332961.5625,1088697.5,153120.375,25950.51171875,8517.642578125,8052.248046875,6221.24951171875,5738.224609375,6966.306640625,5805.55078125,4602.8515625,1876.4794921875,1813.5123291015625,873.0474853515625,289.3029479980469,3.953561034109043e-08
YamahaMT15_9.ogg,9,1e-10,1e-10,191884.21875,562253.875,1055735.25,1453003.0,72677.609375,56303.69140625,7675.4931640625,6262.5478515625,6585.73046875,6948.2568359375,6297.33056640625,5818.2177734375,10251.7431640625,4329.07275390625,1505.3179931640625,448.0290222167969,189.0402069091797,0.0003730436146724969
YamahaMT15_10.ogg,10,1e-10,1e-10,70269.5078125,327727.125,572119.875,612062.0,104741.375,31853.96875,12246.193359375,10901.7236328125,15235.876953125,12108.953125,7108.91357421875,4201.607421875,6836.8525390625,3217.850830078125,1674.0855712890625,1225.0791015625,471.6449279785156,4.5025019062450156e-05
